2,1000
0.000000,0.000000,0.000000
0.000000,384400000.000000,0.000000
0.000000,0.000000,31556.900000
32282708.700000,384400000.000000,31556.900000
0.000000,33048.641878,63113.800000
64565417.400000,381713779.076976,63113.800000
2746.386916,98799.345420,94670.700000
96624897.501862,376369507.557213,94670.700000
10928.281541,196682.243505,126227.600000
128242575.045287,368413504.711261,126227.600000
27158.331823,325906.663111,157784.500000
159206091.846019,357910037.095613,157784.500000
53952.532531,485466.011734,189341.400000
189310945.769908,344940921.380907,189341.400000
93709.549035,674145.402260,220898.300000
218362171.313626,329604904.595784,220898.300000
148690.100008,890532.247123,252455.200000
246176015.395002,312016803.024861,252455.200000
220997.010015,1133029.929919,284012.100000
272581558.695787,292306390.969006,284012.100000
312556.571187,1399874.524394,315569.000000
297422230.599606,270617041.811751,315569.000000
425101.848395,1689154.384219,347125.900000
320557166.161540,247104135.746553,347125.900000
560158.521309,1998832.281244,378682.800000
341862356.877310,221933260.360922,378682.800000
719033.779607,2326769.635348,410239.700000
361231553.289567,195278241.214392,410239.700000
902808.677670,2670752.265626,441796.600000
378576886.404873,167319048.760832,441796.600000
1112334.218911,3028517.009496,473353.500000
393829185.962510,138239634.725050,473353.500000
1348231.286789,3397778.509942,504910.400000
406937986.041882,108225754.813932,504910.400000
1610894.380471,3776255.464856,536467.300000
417871221.424630,77462835.148124,536467.300000
1900498.959614,4161695.666169,568024.200000
426614630.604895,46133937.060591,568024.200000
2217012.065515,4551899.226304,599581.100000
433170892.493278,14417869.231597,599581.100000
2560205.773812,4944739.488637,631138.000000
437558532.970220,-17512511.930983,631138.000000
2929672.953005,5338181.238246,662694.900000
439810644.020576,-49491782.476453,662694.900000
3324844.756204,5730295.959295,694251.800000
439973461.989651,-81363191.043883,694251.800000
3745009.260426,6119274.016170,725808.700000
438104852.565786,-112979648.955138,725808.700000
4189330.685361,6503433.758324,757365.600000
434272748.663286,-144204470.264085,757365.600000
4656868.666729,6881227.656791,788922.500000
428553583.867913,-174911870.537487,788922.500000
5146597.121790,7251245.668908,820479.400000
421030759.032735,-204987240.342366,820479.400000
5657422.319424,7612216.094533,852036.300000
411793173.526992,-234327214.840359,852036.300000
